contact_id,home_phone,area_code,Phone_type
721,390-895-2549,390,Home
722,645-236-8045,645,Home
723,526-739-2732,526,Home
727,963-468-8531,963,Home
728,362-702-8075,362,Home
730,473-852-0193,473,Home
731,305-237-3915,305,Home
732,643-617-2212,643,Home
733,467-386-2020,467,Home
735,823-232-4278,823,Home
736,957-691-3150,957,Home
738,279-884-5244,279,Home
739,395-756-3515,395,Home
741,432-943-2237,432,Home
742,175-176-2824,175,Home
743,585-672-2449,585,Home
747,761-787-3129,761,Home
751,550-782-4535,550,Home
752,113-243-0751,113,Home
753,651-398-9878,651,Home
758,699-592-2201,699,Home
759,916-874-2835,916,Home
761,893-325-8654,893,Home
765,131-239-6896,131,Home
769,815-464-7708,815,Home
773,638-201-7276,638,Home
774,763-441-0092,763,Home
775,636-748-3132,636,Home
780,961-814-7422,961,Home
782,818-918-9740,818,Home
784,446-158-9664,446,Home
785,665-826-5055,665,Home
789,611-949-7678,611,Home
791,677-469-9455,677,Home
792,399-360-8637,399,Home
793,221-309-4868,221,Home
794,218-700-3506,218,Home
795,797-168-6816,797,Home
799,778-903-7321,778,Home
802,337-743-5462,337,Home
803,216-162-9865,216,Home
809,616-874-6016,616,Home
810,274-991-0736,274,Home
813,397-216-0932,397,Home
814,335-651-6531,335,Home
815,551-153-8333,551,Home
817,191-475-1188,191,Home
818,467-709-3343,467,Home
823,310-311-3404,310,Home
825,953-890-4936,953,Home
827,692-336-4421,692,Home
829,454-608-7736,454,Home
830,617-789-0523,617,Home
831,920-275-8249,920,Home
835,264-862-5184,264,Home
836,512-144-3570,512,Home
837,851-978-8586,851,Home
840,897-994-6381,897,Home
842,283-318-2108,283,Home
846,986-267-9674,986,Home
848,330-113-5710,330,Home
849,443-123-5572,443,Home
851,752-834-6762,752,Home
852,511-122-4019,511,Home
853,126-341-6977,126,Home
854,108-514-3652,108,Home
855,582-315-1074,582,Home
857,235-103-6400,235,Home
865,493-614-2925,493,Home
867,480-399-2911,480,Home
869,547-446-2676,547,Home
871,145-506-0145,145,Home
873,728-983-3433,728,Home
874,161-603-6586,161,Home
875,783-591-8077,783,Home
879,408-789-0878,408,Home
880,959-851-9998,959,Home
882,541-668-3252,541,Home
884,513-213-1327,513,Home
885,413-849-9432,413,Home
887,109-881-7428,109,Home
888,843-291-2521,843,Home
889,694-542-6583,694,Home
890,305-646-2294,305,Home
892,853-520-5515,853,Home
896,908-891-9403,908,Home
900,154-481-7732,154,Home
904,316-661-6134,316,Home
905,610-849-7960,610,Home
906,314-674-6210,314,Home
907,906-962-3914,906,Home
909,132-481-0108,132,Home
910,974-937-3200,974,Home
914,180-246-3349,180,Home
917,753-897-6727,753,Home
920,937-153-8251,937,Home
921,555-665-3833,555,Home
926,829-485-3783,829,Home
929,827-347-0145,827,Home
930,428-432-7721,428,Home
932,783-499-5995,783,Home
937,682-231-9147,682,Home
938,733-509-1047,733,Home
940,730-957-6065,730,Home
943,865-577-7549,865,Home
945,210-180-3931,210,Home
948,672-415-3314,672,Home
950,760-557-9463,760,Home
951,536-903-4795,536,Home
953,101-910-0766,101,Home
954,359-899-2375,359,Home
957,400-904-9947,400,Home
958,122-806-0688,122,Home
960,201-306-1291,201,Home
962,333-404-2278,333,Home
966,320-324-1739,320,Home
967,141-469-5864,141,Home
968,657-976-1268,657,Home
969,457-890-2399,457,Home
972,236-716-1495,236,Home
974,611-473-9520,611,Home
975,118-808-6105,118,Home
976,444-807-2663,444,Home
977,189-943-3809,189,Home
978,627-850-8581,627,Home
984,164-120-1050,164,Home
988,194-870-5733,194,Home
994,597-896-7953,597,Home
995,456-537-7814,456,Home
996,121-713-2260,121,Home
997,311-345-4648,311,Home
1000,851-955-4193,851,Home
